,precision,recall,f1-score,support
currency,0.0,0.0,0.0,2.0
housing,0.0,0.0,0.0,2.0
interest,0.8333333333333334,1.0,0.9090909090909091,5.0
jobs,1.0,0.9512195121951219,0.975,41.0
macro,0.7307692307692307,0.76,0.7450980392156863,25.0
market,0.0,0.0,0.0,0.0
none,0.7380952380952381,0.9393939393939394,0.8266666666666667,33.0
other,0.0,0.0,0.0,2.0
prices,0.0,0.0,0.0,3.0
retail,0.5,1.0,0.6666666666666666,1.0
wages,1.0,0.42857142857142855,0.6,7.0
accuracy,0.8099173553719008,0.8099173553719008,0.8099173553719008,0.8099173553719008
macro avg,0.4365634365634366,0.46174408001459,0.4293202074218117,121.0
weighted avg,0.7875457875457875,0.8099173553719008,0.7875584478720115,121.0
