user,instance_id,displayed_text,"The highlighted quantity should have a general type. Please label the type, or select 'Not Relevant' is a date or otherwise not relevant to the U.S. economy:::Macroeconomic / General Economic Conditions (e.g., discusses jobs, housing prices, and oil prices)","frame:::Government revenue and expenses (e.g., discusses taxes, budgets, and treasury issuances)","frame:::Firm-specific (e.g., discusses stock prices, debt offerings, and capital investments)","frame:::Industry-specific (e.g., discusses agricultural prices, manufacturing output, and retail sales)","frame:::Personal (e.g., discusses household expenditures and personal debts)",frame:::Other,frame:::Not Relevant to the U.S. Economy,"frame:::Macroeconomic / General Economic Conditions (e.g., discusses jobs, housing prices, and oil prices)","macro_indicator:::Job Numbers (e.g., jobs, unemployment)",macro_indicator:::Confidence,"macro_indicator:::Housing (e.g., Start, Sales, Pricing)","macro_indicator:::Prices (e.g., CPI, PPI)",macro_indicator:::Other,"macro_indicator:::Wages (e.g., minimum wage, average wage)",macro_indicator:::Not Relevant to the U.S. Economy,macro_indicator:::Not general type 'Macroeconomic / General Economic Conditions',"macro_indicator:::Macroeconomy (e.g., GDP)","macro_indicator:::Energy Prices (eg., oil, gas)",macro_indicator:::Retail Sales,macro_indicator:::Currency Values,"macro_indicator:::Interest Rates (e.g., Fed, Mortgage)","macro_indicator:::Market Numbers (e.g., any financial market)","spin:::Positive (e.g., inflation dropped)","spin:::Neutral (e.g., GDP was worth X US dollars)",spin:::Unknown,spin:::Not general type 'Macroeconomic / General Economic Conditions',spin:::Not Relevant to the U.S. Economy,"spin:::Negative (e.g., prices skyrocketed)","Question 1: The highlighted quantity should have a general type. Please label the type, or select 'Not Relevant to the U.S. Economy' if it is a date or otherwise not relevant to the U.S. economy:::Firm-specific (e.g., discusses stock prices, debt offerings, and capital investments)","Question 1: The highlighted quantity should have a general type. Please label the type, or select 'Not Relevant to the U.S. Economy' if it is a date or otherwise not relevant to the U.S. economy:::Macroeconomic / General Economic Conditions (e.g., discusses jobs, housing prices, and oil prices)","Question 2: If the quantity's general type is 'Macroeconomic / General Economic Conditions', please label the specific macroeconomic indicator. Select 'Not general type 'Macroeconomic / General Economic Conditions'' if the quantity is not relevant to the U.S. economy or is not a macroeconomic / general conditions type.:::Not general type 'Macroeconomic / General Economic Conditions'","Question 2: If the quantity's general type is 'Macroeconomic / General Economic Conditions', please label the specific macroeconomic indicator. Select 'Not general type 'Macroeconomic / General Economic Conditions'' if the quantity is not relevant to the U.S. economy or is not a macroeconomic / general conditions type.:::Housing (e.g., Start, Sales, Pricing)","Question 3: If the quantity's general type is 'Macroeconomic / General Economic Conditions', what spin does the writer of the excerpt put on the highlighted quantity?:::Not general type 'Macroeconomic / General Economic Conditions'","Question 3: If the quantity's general type is 'Macroeconomic / General Economic Conditions', what spin does the writer of the excerpt put on the highlighted quantity?:::Negative (e.g., prices skyrocketed)"," If the quantity's general type is 'Macroeconomic / General Economic Conditions', what spin does the writer of the excerpt put on the highlighted quantity?:::Negative (e.g., prices skyrocketed)","If the quantity's general type is 'Macroeconomic / General Economic Conditions', please label the specific macroeconomic indicator. Select 'Not general type 'Macroeconomic / General Economic Conditions'' if the quantity is not relevant to the U.S. economy or is not a macroeconomic / general conditions type.:::Market Numbers (e.g., any financial market)","Good work! You answered the sample questions correctly. Please confirm that you have read all instructions, because you'll now do 2 examples on your own.:::I have read all provided instructions",You have answered all practice questions correctly! You may access the instructions at any time during the study using the links at the top left the screen.:::I have identified the links to the instruction set and codebook,Please note that we reserve the right to reject your annotations if the provided instructions are not followed.:::I understand that my answers will be rejected if I do not follow the instructions
TEST,Economic-Article-Quant-Annotation-instructions1_example.html,instructions1_example,"The highlighted quantity should have a general type. Please label the type, or select 'Not Relevant' is a date or otherwise not relevant to the U.S. economy:::Macroeconomic / General Economic Conditions (e.g., discusses jobs, housing prices, and oil prices)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5f9b1ec2a1794a2ecec61812,61044_11,"These loans offer attractive returns, especially when compared with other types of debt, including Treasurys and corporate bonds, that are yielding near record lows. Yields on junk bonds recently fell <span>below 6% for</span> the first time ever. Meanwhile, leveraged-loan mutual funds and exchange-traded funds had inflows of $1.2 billion in the week ended Feb. 6, the biggest ever, according to fund tracker Lipper, whose records go back to 1992.",,3,,,,,,,,,,,,,,,,,,,8,,0,,,,,,,,,,,,,,,,
5f9b1ec2a1794a2ecec61812,76378_7,"But the economic havoc is also growing. “Private-sector economists project the toll of the crisis will include 5 million lost jobs <span>and $1.5 trillion</span> in lost economic output,” per the Wall Street Journal's Jon Hilsenrath and Stephanie Armour. ""U.S. stocks have already lost $12 trillion in value since mid-February, and globally losses have shredded $26 trillion from investor portfolios.",,,,,,,,0,,,,,,,,,3,,,,,,,,,,,1,,,,,,,,,,,
5f9b1ec2a1794a2ecec61812,76369_7,"Consumer spending has been relatively robust this year, helped by the strong U.S. economy, rising wages and low unemployment. The National Retail Federation said it expects holiday sales to rise in the range of 3.8% to<span> 4.2</span>%—to about $730 billion. Target on Wednesday raised its adjusted earnings per share targets for the year to $6.25 to $6.45, compared with the prior range of $5.90 to $6.20.",,,,2,,,,,,,,,,,,,,,7,,,,0,,,,,,,,,,,,,,,,
5f9b1ec2a1794a2ecec61812,41856_2,"“Not only are these sites gaining audience share while trafficking in false or misleading claims, these claims seem to be driving some of their engagement,” said Karen Kornbluh, director of GMF’s Digital Innovation and Democracy Initiative and an Obama administration alum. According to the study, the Daily Wire was the top-performing site in terms of engagement every week during the second half <span>of 2021,</span> and it drew more interactions — likes, comments and shares — than the New York Times, The Washington Post, the Wall Street Journal, the Los Angeles Times and NPR combined. And the site garnered “the most [interactions] of any outlet on vaccine mandate articles, and nearly triple the next highest site,” according to the report.",,,,,,,6,,,,,,,,13,,,,,,,,,,,,5,,,,,,,,,,,,
5f9b1ec2a1794a2ecec61812,28092_2,"It is hard to quibble with most of the government's worst-case loss rates, which are calculated for this year and next. For example, <span>an 8.8% loss</span> rate for first-lien mortgages seems suitably tough, even when taking into account the aggressive underwriting during the housing bubble. The government's 13.8% worst-case loss-rate for second-lien mortgages seems fair.",,,,,,,,0,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
5f9b1ec2a1794a2ecec61812,22778_19,"Equinor, which recently changed its name from Statoil to emphasize its partial pivot to renewable energy, nevertheless defends the new field on its company website, asserting, “The Paris Agreement is quite clear that there will still be a need for oil.” Norway’s rebound from 19 years of decline began a few weeks ago as Equinor began production in its Johan Sverdrup deepwater field. The field will eventually produce 440,000 barrels a day, increasing the country’s output <span>from 1.3 million</span> barrels a day to 1.6 million next year and 1.8 million in 2021. In Brazil, after years of scandal and delays, new offshore production platforms are coming online.",,,,2,,,,,,6,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
5f9b1ec2a1794a2ecec61812,74760_27,"The study found that average pay for top businesses leaders at the country’s 350 largest companies amounted to 1$ million per year or more than $17 million when the realized value of stock options are factored in. Meanwhile the minimum wage at the federal level has remained unchanged since 2009, <span>at $7.25 an</span> hour. Although some state governments have taken the lead on raising the floor to upwards of $15.",,,,,,,,0,,,,,,4,,,,,,,,,,,,,,1,,,,,,,,,,,
5f9b1ec2a1794a2ecec61812,6425_36,"More Business News - Short Answer: How Economical Are Our National Parks? Aug.<span> 24,</span> 2016 - FDA Rejects Amgen Hormonal-Imbalance Treatment Aug. 24, 2016 - Republican to Unveil Sales Tax Plan for Purchases Across State Lines Aug. 24, 2016 - Are Your Sheets ‘Egyptian Cotton’? Aug. 24, 2016 - Bed Bath & Beyond to Audit Egyptian Cotton Supplier Aug. 24, 2016 Only another long period of oil below $40 a barrel would pose a challenge that could prompt dividend cuts, said Iain Reid, senior oil analyst at Macquarie Capital.",,,,,,,6,,,,,,,,13,,,,,,,,,,,,5,,,,,,,,,,,,
5f9b1ec2a1794a2ecec61812,72580_17,"Mr. Nicholson said for a few moments “it was squeaky bum time” in his dealing room, as an earlier sense of reassuredness around a win for the Remain camp was swept aside. “<span>A 4% move</span> within a second is pretty wild. In currency-market terms, it’s a black-swan event.”  Bob Browne, chief investment officer at Northern Trust, was sitting in his car Thursday evening in Highland Park, Ill., waiting for his son to come out of a doctor’s appointment.",,3,,,,,,,,,,,,,,,,,,9,,,,,3,,,,,,,,,,,,,,
