,lhs,rhs,count
0,macro,macro,73
1,macro,industry,0
2,macro,government,3
3,macro,personal,0
4,macro,business,2
5,macro,other,0
6,industry,macro,2
7,industry,industry,5
8,industry,government,0
9,industry,personal,0
10,industry,business,2
11,industry,other,0
12,government,macro,5
13,government,industry,1
14,government,government,29
15,government,personal,1
16,government,business,2
17,government,other,0
18,personal,macro,0
19,personal,industry,0
20,personal,government,1
21,personal,personal,2
22,personal,business,0
23,personal,other,0
24,business,macro,0
25,business,industry,0
26,business,government,0
27,business,personal,0
28,business,business,17
29,business,other,0
30,other,macro,0
31,other,industry,0
32,other,government,0
33,other,personal,0
34,other,business,0
35,other,other,0
