user,instance_id,displayed_text,"Good work! You answered the sample questions correctly. Please confirm that you have read all instructions, because you'll now do 2 examples on your own.:::I have read all provided instructions","If the quantity's general type is 'Macroeconomic / General Economic Conditions', please label the specific macroeconomic indicator. Select 'Not general type 'Macroeconomic / General Economic Conditions'' if the quantity is not relevant to the U.S. economy or is not a macroeconomic / general conditions type.:::Market Numbers (e.g., any financial market)"," If the quantity's general type is 'Macroeconomic / General Economic Conditions', what spin does the writer of the excerpt put on the highlighted quantity?:::Negative (e.g., prices skyrocketed)","The highlighted quantity should have a general type. Please label the type, or select 'Not Relevant' is a date or otherwise not relevant to the U.S. economy:::Macroeconomic / General Economic Conditions (e.g., discusses jobs, housing prices, and oil prices)","frame:::Firm-specific (e.g., discusses stock prices, debt offerings, and capital investments)","frame:::Macroeconomic / General Economic Conditions (e.g., discusses jobs, housing prices, and oil prices)","frame:::Industry-specific (e.g., discusses agricultural prices, manufacturing output, and retail sales)",frame:::Not Relevant to the U.S. Economy,"frame:::Personal (e.g., discusses household expenditures and personal debts)",macro_indicator:::Other,"macro_indicator:::Job Numbers (e.g., jobs, unemployment)","macro_indicator:::Housing (e.g., Start, Sales, Pricing)","macro_indicator:::Interest Rates (e.g., Fed, Mortgage)",macro_indicator:::Currency Values,macro_indicator:::Not general type 'Macroeconomic / General Economic Conditions',macro_indicator:::Not Relevant to the U.S. Economy,"macro_indicator:::Market Numbers (e.g., any financial market)","macro_indicator:::Macroeconomy (e.g., GDP)","macro_indicator:::Prices (e.g., CPI, PPI)","spin:::Neutral (e.g., GDP was worth X US dollars)","spin:::Negative (e.g., prices skyrocketed)",spin:::Not general type 'Macroeconomic / General Economic Conditions',spin:::Not Relevant to the U.S. Economy,"spin:::Positive (e.g., inflation dropped)","Question 1: The highlighted quantity should have a general type. Please label the type, or select 'Not Relevant to the U.S. Economy' if it is a date or otherwise not relevant to the U.S. economy:::Firm-specific (e.g., discusses stock prices, debt offerings, and capital investments)","Question 1: The highlighted quantity should have a general type. Please label the type, or select 'Not Relevant to the U.S. Economy' if it is a date or otherwise not relevant to the U.S. economy:::Macroeconomic / General Economic Conditions (e.g., discusses jobs, housing prices, and oil prices)","Question 2: If the quantity's general type is 'Macroeconomic / General Economic Conditions', please label the specific macroeconomic indicator. Select 'Not general type 'Macroeconomic / General Economic Conditions'' if the quantity is not relevant to the U.S. economy or is not a macroeconomic / general conditions type.:::Housing (e.g., Start, Sales, Pricing)","Question 2: If the quantity's general type is 'Macroeconomic / General Economic Conditions', please label the specific macroeconomic indicator. Select 'Not general type 'Macroeconomic / General Economic Conditions'' if the quantity is not relevant to the U.S. economy or is not a macroeconomic / general conditions type.:::Not general type 'Macroeconomic / General Economic Conditions'","Question 3: If the quantity's general type is 'Macroeconomic / General Economic Conditions', what spin does the writer of the excerpt put on the highlighted quantity?:::Negative (e.g., prices skyrocketed)","Question 3: If the quantity's general type is 'Macroeconomic / General Economic Conditions', what spin does the writer of the excerpt put on the highlighted quantity?:::Not general type 'Macroeconomic / General Economic Conditions'",You have answered all practice questions correctly! You may access the instructions at any time during the study using the links at the top left the screen.:::I have identified the links to the instruction set and codebook,Please note that we reserve the right to reject your annotations if the provided instructions are not followed.:::I understand that my answers will be rejected if I do not follow the instructions
6109b252880d6d711a5645b4,Economic-Article-Quant-Annotation-instructions_confirm.html,instructions_confirm,"Good work! You answered the sample questions correctly. Please confirm that you have read all instructions, because you'll now do 2 examples on your own.:::I have read all provided instructions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6109b252880d6d711a5645b4,Economic-Article-Quant-Annotation-instructions2_example.html,instructions2_example,,"If the quantity's general type is 'Macroeconomic / General Economic Conditions', please label the specific macroeconomic indicator. Select 'Not general type 'Macroeconomic / General Economic Conditions'' if the quantity is not relevant to the U.S. economy or is not a macroeconomic / general conditions type.:::Market Numbers (e.g., any financial market)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6109b252880d6d711a5645b4,Economic-Article-Quant-Annotation-instructions3_example.html,instructions3_example,,," If the quantity's general type is 'Macroeconomic / General Economic Conditions', what spin does the writer of the excerpt put on the highlighted quantity?:::Negative (e.g., prices skyrocketed)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6109b252880d6d711a5645b4,Economic-Article-Quant-Annotation-instructions1_example.html,instructions1_example,,,,"The highlighted quantity should have a general type. Please label the type, or select 'Not Relevant' is a date or otherwise not relevant to the U.S. economy:::Macroeconomic / General Economic Conditions (e.g., discusses jobs, housing prices, and oil prices)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
664efd1322a0666254a51974,Economic-Article-Quant-Annotation-instructions1_example.html,instructions1_example,,,,"The highlighted quantity should have a general type. Please label the type, or select 'Not Relevant' is a date or otherwise not relevant to the U.S. economy:::Macroeconomic / General Economic Conditions (e.g., discusses jobs, housing prices, and oil prices)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
600be42e32909325b20ab5f0,Economic-Article-Quant-Annotation-instructions_confirm.html,instructions_confirm,"Good work! You answered the sample questions correctly. Please confirm that you have read all instructions, because you'll now do 2 examples on your own.:::I have read all provided instructions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600be42e32909325b20ab5f0,50136_8,"He’s down from 34 percent in November. Pollster Scott Clement points out Clinton’s standing is similar to eight years ago, when she <span>was 28 points</span> ahead of Barack Obama (though the dynamics in 2016 are decidedly different), and that the race is much closer in both Iowa and New Hampshire. Clinton is being helped by the renewed focus on national security: 64 percent say she would handle terrorism better than he would.",,,,,,,,6,,,,,,,,13,,,,,,,5,,,,,,,,,
600be42e32909325b20ab5f0,57262_5,"Ironically, Federal Reserve officials are meeting virtually this week to discuss “Macroeconomic Policy in an Uneven Economy” for their annual Jackson Hole Symposium. The EIG report — which focused specifically on income from interest, stock dividends and rent — discovered that the gap between counties with the lowest and highest asset income per capita increased sixfold between 1990 and<span> 2019.</span> And asset income has become more geographically concentrated: It nearly doubled since 1990 in the top 10% of counties, but barely changed for the bottom 90% of counties.",,,,,,,,6,,,,,,,,13,,,,,,,5,,,,,,,,,
600be42e32909325b20ab5f0,90411_0,"President Trump casts his new North American trade agreement as “the biggest trade deal in the United States’ history” — one that would return lost manufacturing jobs to American shores, discourage future outsourcing of factory work, and “send cash and jobs pouring into the United States.” But many economists and trade experts say the president’s forecast may prove overly optimistic, given the limited changes that are envisioned and the powerful economic forces that already have reshaped regional commerce. While some industries and regions would fare better than others, the sheer size of <span>the $20 trillion</span> U.S. economy will probably swamp those specific effects. The accord, which the president has christened the U.S.-Mexico-Canada Agreement, would require automobiles to include more North American parts to qualify for duty-free treatment, pry open a sliver of Canada’s dairy market and update trading rules for the Internet economy.",,,,,,0,,,,,,,,,,,1,,,2,,,,,,,,,,,,
600be42e32909325b20ab5f0,Economic-Article-Quant-Annotation-example2.html,example2,,,,,,,,,,,,,,,,,,,,,,,,,,"Question 1: The highlighted quantity should have a general type. Please label the type, or select 'Not Relevant to the U.S. Economy' if it is a date or otherwise not relevant to the U.S. economy:::Macroeconomic / General Economic Conditions (e.g., discusses jobs, housing prices, and oil prices)","Question 2: If the quantity's general type is 'Macroeconomic / General Economic Conditions', please label the specific macroeconomic indicator. Select 'Not general type 'Macroeconomic / General Economic Conditions'' if the quantity is not relevant to the U.S. economy or is not a macroeconomic / general conditions type.:::Housing (e.g., Start, Sales, Pricing)",,"Question 3: If the quantity's general type is 'Macroeconomic / General Economic Conditions', what spin does the writer of the excerpt put on the highlighted quantity?:::Negative (e.g., prices skyrocketed)",,,
