id,text
43627_16,"“The IMF’s message from these meetings is clear: Avoid premature withdrawal—pulling the plug too soon risks serious, self-inflicted harm,” Managing Director Kristalina Georgieva told reporters Thursday as finance ministers and central bankers assembled virtually for the annual meetings of the fund and the World Bank. To cover the budget shortfall, the Treasury has sold a flood of new securities, boosting total government debt held by the public to $21 trillion, <span>a 25% increase</span> from the beginning of the fiscal year. Investors have shown scant worry about the deficit."
43627_12,"That has put the U.S. in a league with Greece, Italy and Japan among the most heavily indebted nations. Senate Republicans, citing the mounting debt, have balked at a White House proposal to spend <span>another $1.88 trillion</span> and House Democrats’ $2.2 trillion bill to add to aid to counter the steepest economic downturn since the Great Depression. Many economists and Federal Reserve officials argue restoring growth should be the first priority, and that worries about closing the deficit can come later."
43627_10,"As a share of economic output, the budget gap in fiscal year 2020 hit roughly 16.1%, the largest since 1945, the Treasury Department said Friday, when the country was financing massive military operations to help end World War II. Federal debt <span>totaled 102% of</span> gross domestic product, the first time it has exceeded the size of the economy for the full fiscal year in more than 70 years, according to estimates from the Committee for a Responsible Federal Budget. That has put the U.S. in a league with Greece, Italy and Japan among the most heavily indebted nations."
43627_8,"U.S. Budget Gap Tripled to record $3.1 trillion in fiscal 2020, Treasury Says
Spending soared 47% in year ended Sept. 30 as government rolled out programs to battle coronavirus and recession
WASHINGTON—The U.S. budget deficit tripled to a record $3.1 trillion in the fiscal year that ended Sept. 30 as the government battled the global coronavirus pandemic that plunged the country into a recession, has taken more than 217,000 American lives and thrown millions out of work. As a share of economic output, the budget gap in fiscal year 2020 hit <span>roughly 16.1%,</span> the largest since 1945, the Treasury Department said Friday, when the country was financing massive military operations to help end World War II. Federal debt totaled 102% of gross domestic product, the first time it has exceeded the size of the economy for the full fiscal year in more than 70 years, according to estimates from the Committee for a Responsible Federal Budget."
43627_2,"U.S. Budget Gap Tripled to record $3.1 trillion in fiscal 2020, Treasury Says
Spending <span>soared 47% in</span> year ended Sept. 30 as government rolled out programs to battle coronavirus and recession
WASHINGTON—The U.S. budget deficit tripled to a record $3.1 trillion in the fiscal year that ended Sept. 30 as the government battled the global coronavirus pandemic that plunged the country into a recession, has taken more than 217,000 American lives and thrown millions out of work. As a share of economic output, the budget gap in fiscal year 2020 hit roughly 16.1%, the largest since 1945, the Treasury Department said Friday, when the country was financing massive military operations to help end World War II."
43627_0,"U.S. Budget Gap Tripled to <span>record $3.1 trillion</span> in fiscal 2020, Treasury Says
Spending soared 47% in year ended Sept. 30 as government rolled out programs to battle coronavirus and recession
WASHINGTON—The U.S. budget deficit tripled to a record $3.1 trillion in the fiscal year that ended Sept. 30 as the government battled the global coronavirus pandemic that plunged the country into a recession, has taken more than 217,000 American lives and thrown millions out of work. As a share of economic output, the budget gap in fiscal year 2020 hit roughly 16.1%, the largest since 1945, the Treasury Department said Friday, when the country was financing massive military operations to help end World War II."
83682_41,"Buoyed by a pandemic-induced surge in online shopping, Amazon on Thursday reported record sales and profits in the latest quarter. Amazon <span>had $88.9 billion</span> in quarterly sales, up 40 percent from a year earlier. Profit doubled, to $5.2 billion, even though the company invested heavily to improve the safety in Amazon’s warehouses."
83682_40,"And some 2.47 billion people use one or more of Facebook’s apps every day. The company said its number of monthly active users <span>rose 12 percent</span> from a year ago and added that it was seeing record levels of engagement and usage this year because of the coronavirus pandemic and the shelter-in-place orders around the world. “We’re glad to be able to provide small businesses the tools they need to grow and be successful online during these challenging times,” said Mr. Zuckerberg, who was grilled by lawmakers on Wednesday over Facebook’s power."
83682_38,"Facebook’s revenue for the second quarter rose 11 percent from a year earlier to $18.7 billion, while profit jumped 98 percent to $5.2 billion. The results were well above analysts’ estimates of $17.3 billion in revenue with a profit <span>of $3.9 billion</span>, according to data provided by FactSet. More than three billion people come to Facebook or one of its family of apps on a regular basis, as the services have overtaken much of the developed world."
83682_37,"Facebook’s revenue for the second quarter rose 11 percent from a year earlier to $18.7 billion, while profit jumped 98 percent to $5.2 billion. The results were well above analysts’ estimates <span>of $17.3 billion</span> in revenue with a profit of $3.9 billion, according to data provided by FactSet. More than three billion people come to Facebook or one of its family of apps on a regular basis, as the services have overtaken much of the developed world."
