id,text
29800_7,"The Dow Jones Industrial Average and S&P 500 each came within 2% of those all-time highs this week, but a drop in utilities and telecommunication shares—the two best-performing sectors in the S&P 500 over the past 12 months—dragged indexes lower. The Dow is hovering near 18000, <span>up 3.3% in</span> 2016, but investors are struggling to find impetus during a lackluster earnings season. “It’s not going to be a one-way street where the market is going to continue to go up,” said Mike LaBella, a portfolio manager at QS Investors, a unit of asset manager Legg Mason Inc. On Friday, the Dow added 21.23 points, or 0.1%, to 18003.75, while the S&P 500 ended nearly unchanged at 2091.58."
21067_4,"Until the most recent election cycle, Mr. Bennett was part of a political alliance with Bezalel Smotrich, a far-right leader. Though Mr. Bennett’s party, Yamina, won just seven of <span>the 120 seats</span> in Parliament, the anti-Netanyahu forces could not form a government without his support, allowing him to set the terms of his involvement in the coalition. Mr. Lapid, 57, is a former news anchor and journalist who became a politician nine years ago and later served as finance minister in a Netanyahu-led coalition."
88390_32,"The same day, Shannon Watts of Moms Demand Action, a gun violence prevention group, declared, “We need Mitch McConnell to allow a vote.”  The Twitter account of House Speaker Nancy Pelosi (D-Calif.) retweeted both statements, and several days later, Pelosi wrote a public letter to Trump asking him to call on McConnell — whom she described as “an obstacle to taking any action” — to call the Senate back into session. By the night of Aug.<span> 4,</span> protesters had gathered outside McConnell’s Kentucky home with profane chants. Days later, dozens gathered outside his Louisville office."
28258_14,"But for Comcast shareholders, it’s another $15 billion spent on an asset that many didn’t want in the first place. The Fed stands up to Trump It raised interest rates as expected yesterday, to between 2 and<span> 2.25 percent</span>, citing a “particularly bright moment” for the U.S. economy. President Trump said he was “not happy.” So he shows no sign of returning to the tradition of presidential silence on fiscal policy."
49862_4,"The phone company’s share price barely advanced during a period when stocks more than doubled in value. From the announcement of Time Warner’s acquisition to word of its spinoff, shares of AT&T gained just 12.6 percent compared to <span>a 112.7 percent</span> increase in the S&P 500. The company’s market capitalization — the value of all its outstanding stock — has fallen by about 20 percent since the end of 2016, according to data compiled by Bloomberg."
305_16,"When Trump rants about the supposed horrors of rigged elections and voting fraud, journalists have to constantly provide the counterweight of truth. We have gotten better at this <span>since 2016.</span> Now we have to stick to it."
45570_19,"Many bundled the lack of an arrest with the rise of other crimes in the neighborhood. Serious crimes in the 78th Precinct, which includes Park Slope, are <span>up 50 percent</span> from two years ago, though well below the highs of the early 1990s. A spokesperson for the Police Department said they were conducting canvasses of the park but would not comment on why there had been no arrest."
28063_16,"What are the growth sectors, and how do we continue to nurture them?” The need to do more to promote growth separate from the federal government has become acute in recent years because of mandated government budget cuts in the process known as sequestration. Economic growth has been weak <span>since 2010,</span> compared with other big metro areas, as the region struggles to add new, well-paying jobs. The jobs it has added — many of them in the service industry — are often low-paid positions with high turnover rates."
21067_11,"Until the most recent election cycle, Mr. Bennett was part of a political alliance with Bezalel Smotrich, a far-right leader. Though Mr. Bennett’s party, Yamina, won just seven of <span>the 120 seats</span> in Parliament, the anti-Netanyahu forces could not form a government without his support, allowing him to set the terms of his involvement in the coalition. Mr. Lapid, 57, is a former news anchor and journalist who became a politician nine years ago and later served as finance minister in a Netanyahu-led coalition."
49697_2,"For years it remained a largely autonomous province tucked in southwestern Serbia, but a full-blown war for independence erupted there in 1998 between Orthodox Serbs and ethnic Albanians, who are Muslims. The fighting grew so ugly with a Serb-sponsored campaign of ethnic cleansing that NATO eventually intervened on the Albanians’ behalf <span>in 1999.</span> Today, to the United States and the 110 other countries that recognize it, Kosovo stands as Europe’s newest country, an eight-year-old diamond of roughly two million friendly, westward-looking people still struggling to get on their feet."
73212_7,"Expanded supply has helped moderate commodity prices over the past year after a decade of demand from China helped push many prices into the stratosphere. The International Monetary Fund's index of all commodity prices is down <span>about 12% from</span> recent peaks; it had roughly tripled Between 2000 and 2011. Copper is down 28% from its record high in 2011, while thermal coal has fallen by more than half since a 2008 peak."
58696_2,"In the 1960s, she noted, when redlining and other forms of housing discrimination were legal, the homeownership gap between black and white Americans was 27 percentage points. Today, it <span>is 30 percentage</span> points. “Race matters,” she said."
