258	better	0.0
258	worse	1.0
258	same	0.0
258	none	0.0
530	better	0.0
530	worse	1.0
530	same	0.0
530	none	0.0
952	better	0.0
952	worse	1.0
952	same	0.0
952	none	0.0
199	better	0.0
199	worse	1.0
199	same	0.0
199	none	0.0
16612	better	0.0
16612	worse	1.0
16612	same	0.0
16612	none	0.0
18190	better	1.0
18190	worse	0.0
18190	same	0.0
18190	none	0.0
19134	better	0.0
19134	worse	0.0
19134	same	1.0
19134	none	0.0
1311	better	0.0
1311	worse	1.0
1311	same	0.0
1311	none	0.0
86954	better	1.0
86954	worse	0.0
86954	same	0.0
86954	none	0.0
863	better	0.0
863	worse	1.0
863	same	0.0
863	none	0.0
869	better	0.0
869	worse	1.0
869	same	0.0
869	none	0.0
993	better	1.0
993	worse	0.0
993	same	0.0
993	none	0.0
4031	better	0.0
4031	worse	1.0
4031	same	0.0
4031	none	0.0
6164	better	0.0
6164	worse	1.0
6164	same	0.0
6164	none	0.0
6006	better	1.0
6006	worse	0.0
6006	same	0.0
6006	none	0.0
10205	better	0.0
10205	worse	0.0
10205	same	1.0
10205	none	0.0
14431	better	1.0
14431	worse	0.0
14431	same	0.0
14431	none	0.0
15674	better	0.0
15674	worse	0.0
15674	same	1.0
15674	none	0.0
85614	better	0.0
85614	worse	0.0
85614	same	0.0
85614	none	1.0
89910	better	0.0
89910	worse	0.0
89910	same	0.0
89910	none	1.0
78753	better	1.0
78753	worse	0.0
78753	same	0.0
78753	none	0.0
64028	better	0.0
64028	worse	1.0
64028	same	0.0
64028	none	0.0
4167	better	1.0
4167	worse	0.0
4167	same	0.0
4167	none	0.0
1145	better	1.0
1145	worse	0.0
1145	same	0.0
1145	none	0.0
16853	better	0.0
16853	worse	1.0
16853	same	0.0
16853	none	0.0
2825	better	1.0
2825	worse	0.0
2825	same	0.0
2825	none	0.0
19312	better	1.0
19312	worse	0.0
19312	same	0.0
19312	none	0.0
19497	better	0.0
19497	worse	1.0
19497	same	0.0
19497	none	0.0
19642	better	1.0
19642	worse	0.0
19642	same	0.0
19642	none	0.0
56329	better	1.0
56329	worse	0.0
56329	same	0.0
56329	none	0.0
4934	better	0.0
4934	worse	1.0
4934	same	0.0
4934	none	0.0
5339	better	0.0
5339	worse	0.0
5339	same	0.0
5339	none	1.0
14980	better	1.0
14980	worse	0.0
14980	same	0.0
14980	none	0.0
30465	better	0.0
30465	worse	0.0
30465	same	1.0
30465	none	0.0
1671	better	0.0
1671	worse	0.0
1671	same	0.0
1671	none	1.0
3224	better	0.0
3224	worse	0.0
3224	same	1.0
3224	none	0.0
1550	better	0.0
1550	worse	1.0
1550	same	0.0
1550	none	0.0
32870	better	0.0
32870	worse	1.0
32870	same	0.0
32870	none	0.0
10250	better	0.0
10250	worse	1.0
10250	same	0.0
10250	none	0.0
96354	better	1.0
96354	worse	0.0
96354	same	0.0
96354	none	0.0
42133	better	1.0
42133	worse	0.0
42133	same	0.0
42133	none	0.0
91407	better	1.0
91407	worse	0.0
91407	same	0.0
91407	none	0.0
70397	better	0.0
70397	worse	0.0
70397	same	0.0
70397	none	1.0
56172	better	0.0
56172	worse	1.0
56172	same	0.0
56172	none	0.0
50838	better	0.0
50838	worse	0.0
50838	same	0.0
50838	none	1.0
37453	better	0.0
37453	worse	1.0
37453	same	0.0
37453	none	0.0
55292	better	0.0
55292	worse	1.0
55292	same	0.0
55292	none	0.0
