user,instance_id,displayed_text,"frame:::Macroeconomic / General Economic Conditions (e.g., discusses jobs, housing prices, and oil prices)","frame:::Industry-specific (e.g., discusses agricultural prices, manufacturing output, and retail sales)",frame:::Not Relevant to the U.S. Economy,"frame:::Government revenue and expenses (e.g., discusses taxes, budgets, and treasury issuances)",frame:::Other,"frame:::Personal (e.g., discusses household expenditures and personal debts)","frame:::Firm-specific (e.g., discusses stock prices, debt offerings, and capital investments)","macro_indicator:::Job Numbers (e.g., jobs, unemployment)",macro_indicator:::Not general type 'Macroeconomic / General Economic Conditions',macro_indicator:::Retail Sales,"macro_indicator:::Interest Rates (e.g., Fed, Mortgage)",macro_indicator:::Not Relevant to the U.S. Economy,"macro_indicator:::Macroeconomy (e.g., GDP)",macro_indicator:::Other,macro_indicator:::Currency Values,"macro_indicator:::Wages (e.g., minimum wage, average wage)","macro_indicator:::Prices (e.g., CPI, PPI)","macro_indicator:::Market Numbers (e.g., any financial market)","macro_indicator:::Energy Prices (eg., oil, gas)",spin:::Not general type 'Macroeconomic / General Economic Conditions',"spin:::Positive (e.g., inflation dropped)",spin:::Not Relevant to the U.S. Economy,"spin:::Neutral (e.g., GDP was worth X US dollars)",spin:::Unknown,"spin:::Negative (e.g., prices skyrocketed)","Question 1: The highlighted quantity should have a general type. Please label the type, or select 'Not Relevant to the U.S. Economy' if it is a date or otherwise not relevant to the U.S. economy:::Macroeconomic / General Economic Conditions (e.g., discusses jobs, housing prices, and oil prices)","Question 1: The highlighted quantity should have a general type. Please label the type, or select 'Not Relevant to the U.S. Economy' if it is a date or otherwise not relevant to the U.S. economy:::Firm-specific (e.g., discusses stock prices, debt offerings, and capital investments)","Question 2: If the quantity's general type is 'Macroeconomic / General Economic Conditions', please label the specific macroeconomic indicator. Select 'Not general type 'Macroeconomic / General Economic Conditions'' if the quantity is not relevant to the U.S. economy or is not a macroeconomic / general conditions type.:::Housing (e.g., Start, Sales, Pricing)","Question 2: If the quantity's general type is 'Macroeconomic / General Economic Conditions', please label the specific macroeconomic indicator. Select 'Not general type 'Macroeconomic / General Economic Conditions'' if the quantity is not relevant to the U.S. economy or is not a macroeconomic / general conditions type.:::Not general type 'Macroeconomic / General Economic Conditions'","Question 3: If the quantity's general type is 'Macroeconomic / General Economic Conditions', what spin does the writer of the excerpt put on the highlighted quantity?:::Not general type 'Macroeconomic / General Economic Conditions'","Question 3: If the quantity's general type is 'Macroeconomic / General Economic Conditions', what spin does the writer of the excerpt put on the highlighted quantity?:::Negative (e.g., prices skyrocketed)","The highlighted quantity should have a general type. Please label the type, or select 'Not Relevant' is a date or otherwise not relevant to the U.S. economy:::Macroeconomic / General Economic Conditions (e.g., discusses jobs, housing prices, and oil prices)","Good work! You answered the sample questions correctly. Please confirm that you have read all instructions, because you'll now do 2 examples on your own.:::I have read all provided instructions",You have answered all practice questions correctly! You may access the instructions at any time during the study using the links at the top left the screen.:::I have identified the links to the instruction set and codebook,Please note that we reserve the right to reject your annotations if the provided instructions are not followed.:::I understand that my answers will be rejected if I do not follow the instructions," If the quantity's general type is 'Macroeconomic / General Economic Conditions', what spin does the writer of the excerpt put on the highlighted quantity?:::Negative (e.g., prices skyrocketed)","If the quantity's general type is 'Macroeconomic / General Economic Conditions', please label the specific macroeconomic indicator. Select 'Not general type 'Macroeconomic / General Economic Conditions'' if the quantity is not relevant to the U.S. economy or is not a macroeconomic / general conditions type.:::Market Numbers (e.g., any financial market)"
661c2e0c445d09870decb949,20435_0,"this season. Without a running diary, it would be easy to forget that the Oklahoma City Thunder did not win their first game <span>for 12 days</span>, or that Blake Griffin scored 50 points against Philadelphia, or that Luke Walton’s run with the Los Angeles Lakers as coach once seemed to be in its final days. Only a fraction of the way through this season, a crew of New York Times sportswriters and friends are ready to reflect.",,,6,,,,,,,,,13,,,,,,,,,,5,,,,,,,,,,,,,,,
661c2e0c445d09870decb949,49071_4,"That rule went out the window in 2011 when Republicans in Congress and President Barack Obama enacted multiyear spending limits when they couldn’t agree on long-term changes to spending and taxes. These were a major contributor to the “fiscal drag” that Goldman Sachs analyst Alec Phillips estimates sliced an average <span>of 1.2 percentage</span> points off growth annually from 2011 to 2013. The hit to the economy was all the harder because the Federal Reserve couldn’t compensate by cutting interest rates, since they already were near zero.",0,,,,,,,,,,8,,,,,,,,,,,,,,1,,,,,,,,,,,,
661c2e0c445d09870decb949,72580_19,"“Some of the early polls have come in, and the market is revisiting its rock-solid assumption just a few hours ago that the U.K. would stay in,” he said. By 3 a.m. in London, five hours after the polls had closed, Betfair put the odds of Britain’s remaining <span>at 56%.</span> A victory for Leave in Swansea, in South Wales, helped drive the pound still lower—down below $1.41, off more than 5% from just before the polls closed.",,,6,,,,,,,,,13,,,,,,,,,,5,,,,,,,,,,,,,,,
661c2e0c445d09870decb949,11692_15,"To be sure, investors say the vote also is providing moneymaking opportunities. Betting against the pound was a profitable trade for many in <span>early 2016.</span> The weaker currency has also been a boon for U.K. companies that sell the bulk of their goods abroad, as it makes their products more competitive there.",,,6,,,,,,,,,13,,,,,,,,,,5,,,,,,,,,,,,,,,
661c2e0c445d09870decb949,76369_8,"Consumer spending has been relatively robust this year, helped by the strong U.S. economy, rising wages and low unemployment. The National Retail Federation said it expects holiday sales to rise in the range of 3.8% to 4.2%—to <span>about $730 billion</span>. Target on Wednesday raised its adjusted earnings per share targets for the year to $6.25 to $6.45, compared with the prior range of $5.90 to $6.20.",0,,,,,,,,,7,,,,,,,,,,,0,,,,,,,,,,,,,,,,
661c2e0c445d09870decb949,31569_6,Water resources within China are limited. The country has 20% of the world’s population and <span>just 7% of</span> the world’s fresh water. Around one-quarter of that is polluted—in part because of industrial production and intensive farming practices—according to a January report from China National Environmental Monitoring Center.,,,6,,,,,,,,,13,,,,,,,,,,5,,,,,,,,,,,,,,,
661c2e0c445d09870decb949,20435_7,"And then there’s Gordon Hayward, who clearly still needs time. I expected his explosiveness to the rim to need the time, not his 3-point shooting, which is mired <span>at 28 percent</span>. The lesson: Don’t trust all those off-season workout videos you see of players swishing shots.",,,6,,,,,,,,,13,,,,,,,,,,5,,,,,,,,,,,,,,,
661c2e0c445d09870decb949,47035_46,"It took a week to find Ms. Beach’s body, which was facedown in the marsh 5 miles north of the bridge. Paul’s blood drawn as part of his care at the hospital showed that his blood-alcohol level <span>was .286,</span> according to hospital records, three times the legal limit in South Carolina. Paul was criminally charged in April 2019, including boating under the influence causing death, but the charges were dropped after his death last June, leaving the wrongful-death suit the key legal proceeding.",,,6,,,,,,,,,13,,,,,,,,,,5,,,,,,,,,,,,,,,
661c2e0c445d09870decb949,785_6,"Overall consumer prices climbed a seasonally adjusted 8.2% in September from the same month a year ago, pulled down by a decline in gasoline prices that was partially offset by higher food costs, the Labor Department said Thursday. The reading was down <span>from 8.3% in</span> August and 9.1% in June, which was the highest inflation rate in four decades. So-called core prices—which exclude volatile energy and food prices—rose 6.6% in September from a year earlier, the biggest increase since August 1982.",0,,,,,,,,,,,,,,,,5,,,,,,,3,,,,,,,,,,,,,
661c2e0c445d09870decb949,47035_23,"It also spawned a pair of explosive and potentially groundbreaking lawsuits, with one tentatively set to go to trial this fall. * China Ratchets Up Pressure on Foreign CompaniesApril 27,<span> 2023,</span> * Amazon Rebounds From Postpandemic Doldrums, but Says Cloud Growth Is SlowingApril 27, 2023, * Stocks Rally, Led by NasdaqApril 27, 2023,  * China Ratchets Up Pressure on Foreign CompaniesApril 27, 2023, * Amazon Rebounds From Postpandemic Doldrums, but Says Cloud Growth Is SlowingApril 27, 2023, * Stocks Rally, Led by NasdaqApril 27, 2023, * Higher Rates Hit U.S. GrowthApril 27, 2023, * Denied a Gun License Over School Threat, Accused Leaker Jack Teixeira Later Got Top-Secret ClearanceApril 27, 2023, * Iran Seizes U.S.-Bound Oil TankerApril 27, 2023, * DeSantis’s Miscalculation: ‘Disney Is Playing the Long Game’April 27, 2023, * U.S. Sanctions Russian, Iranian Security Services Over Wrongful DetentionsApril 27, 2023, * Fire Sale: $300 Million San Francisco Office Tower, Mostly Empty. Open to Offers.",,,6,,,,,,,,,13,,,,,,,,,,5,,,,,,,,,,,,,,,
