source year macro_type count total per
bbc 2018 currency 25 1091 0.022914757103574702
bbc 2018 housing 13 1091 0.011915673693858845
bbc 2018 interest 1 1091 9.165902841429881e-4
bbc 2018 jobs 321 1091 0.29422548120989916
bbc 2018 macro 306 1091 0.2804766269477543
bbc 2018 market 266 1091 0.24381301558203483
bbc 2018 other 74 1091 0.06782768102658111
bbc 2018 prices+ 54 1091 0.04949587534372136
bbc 2018 wages 31 1091 0.02841429880843263
bbc 2019 currency 27 1102 0.024500907441016333
bbc 2019 housing 3 1102 0.0027223230490018148
bbc 2019 interest 12 1102 0.010889292196007259
bbc 2019 jobs 394 1102 0.35753176043557167
bbc 2019 macro 366 1102 0.33212341197822143
bbc 2019 market 74 1102 0.06715063520871144
bbc 2019 other 104 1102 0.09437386569872959
bbc 2019 prices+ 78 1102 0.07078039927404718
bbc 2019 wages 44 1102 0.039927404718693285
bbc 2020 currency 13 1704 0.007629107981220657
bbc 2020 housing 9 1704 0.00528169014084507
bbc 2020 interest 13 1704 0.007629107981220657
bbc 2020 jobs 769 1704 0.45129107981220656
bbc 2020 macro 387 1704 0.22711267605633803
bbc 2020 market 145 1704 0.08509389671361503
bbc 2020 other 113 1704 0.06631455399061033
bbc 2020 prices+ 213 1704 0.125
bbc 2020 wages 42 1704 0.02464788732394366
bbc 2021 currency 9 931 0.00966702470461869
bbc 2021 housing 10 931 0.010741138560687433
bbc 2021 interest 1 931 0.0010741138560687433
bbc 2021 jobs 481 931 0.5166487647690655
bbc 2021 macro 191 931 0.20515574650912996
bbc 2021 market 25 931 0.02685284640171858
bbc 2021 other 72 931 0.07733619763694952
bbc 2021 prices+ 83 931 0.08915145005370569
bbc 2021 wages 59 931 0.06337271750805586
bbc 2022 currency 19 599 0.03171953255425709
bbc 2022 housing 25 599 0.041736227045075125
bbc 2022 interest 44 599 0.07345575959933222
bbc 2022 jobs 124 599 0.20701168614357263
bbc 2022 macro 164 599 0.27378964941569284
bbc 2022 market 37 599 0.06176961602671119
bbc 2022 other 28 599 0.04674457429048414
bbc 2022 prices+ 139 599 0.23205342237061768
bbc 2022 wages 19 599 0.03171953255425709
breitbart 2015 currency 44 1830 0.024043715846994537
breitbart 2015 housing 16 1830 0.008743169398907104
breitbart 2015 interest 3 1830 0.001639344262295082
breitbart 2015 jobs 859 1830 0.46939890710382515
breitbart 2015 macro 394 1830 0.21530054644808744
breitbart 2015 market 83 1830 0.0453551912568306
breitbart 2015 other 170 1830 0.09289617486338798
breitbart 2015 prices+ 102 1830 0.05573770491803279
breitbart 2015 wages 159 1830 0.08688524590163935
breitbart 2016 currency 65 4988 0.013031275060144346
breitbart 2016 housing 64 4988 0.012830793905372895
breitbart 2016 interest 13 4988 0.0026062550120288693
breitbart 2016 jobs 2078 4988 0.4165998396150762
breitbart 2016 macro 1661 4988 0.3329991980753809
breitbart 2016 market 134 4988 0.0268644747393745
breitbart 2016 other 371 4988 0.0743785084202085
breitbart 2016 prices+ 238 4988 0.04771451483560545
breitbart 2016 wages 364 4988 0.07297514033680834
breitbart 2017 currency 60 5891 0.010185028008827025
breitbart 2017 housing 47 5891 0.007978271940247837
breitbart 2017 interest 16 5891 0.0027160074690205397
breitbart 2017 jobs 3064 5891 0.5201154303174333
breitbart 2017 macro 1592 5891 0.2702427431675437
breitbart 2017 market 131 5891 0.02223731115260567
breitbart 2017 other 299 5891 0.050755389577321335
breitbart 2017 prices+ 314 5891 0.05330164657952809
breitbart 2017 wages 368 5891 0.06246817178747242
breitbart 2018 currency 48 6498 0.007386888273314866
breitbart 2018 housing 32 6498 0.0049245921822099106
breitbart 2018 interest 11 6498 0.001692828562634657
breitbart 2018 jobs 3803 6498 0.585257002154509
breitbart 2018 macro 1217 6498 0.18728839642967066
breitbart 2018 market 281 6498 0.04324407510003078
breitbart 2018 other 370 6498 0.05694059710680209
breitbart 2018 prices+ 202 6498 0.031086488150200063
breitbart 2018 wages 534 6498 0.08217913204062789
breitbart 2019 currency 13 1170 0.011111111111111112
breitbart 2019 housing 2 1170 0.0017094017094017094
breitbart 2019 jobs 349 1170 0.2982905982905983
breitbart 2019 macro 439 1170 0.3752136752136752
breitbart 2019 market 31 1170 0.026495726495726495
breitbart 2019 other 87 1170 0.07435897435897436
breitbart 2019 prices+ 76 1170 0.06495726495726496
breitbart 2019 wages 173 1170 0.14786324786324787
breitbart 2020 currency 26 2931 0.008870692596383487
breitbart 2020 housing 39 2931 0.01330603889457523
breitbart 2020 interest 16 2931 0.005458887751620608
breitbart 2020 jobs 1427 2931 0.48686455134766293
breitbart 2020 macro 757 2931 0.25827362674855
breitbart 2020 market 104 2931 0.03548277038553395
breitbart 2020 other 168 2931 0.057318321392016376
breitbart 2020 prices+ 231 2931 0.07881269191402251
breitbart 2020 wages 163 2931 0.05561241896963494
breitbart 2021 currency 30 1559 0.01924310455420141
breitbart 2021 housing 54 1559 0.03463758819756254
breitbart 2021 interest 2 1559 0.0012828736369467607
breitbart 2021 jobs 692 1559 0.44387427838357923
breitbart 2021 macro 334 1559 0.21423989737010904
breitbart 2021 market 10 1559 0.006414368184733804
breitbart 2021 other 127 1559 0.0814624759461193
breitbart 2021 prices+ 181 1559 0.11610006414368185
breitbart 2021 wages 129 1559 0.08274534958306606
breitbart 2022 currency 39 2460 0.015853658536585366
breitbart 2022 housing 36 2460 0.014634146341463415
breitbart 2022 interest 23 2460 0.00934959349593496
breitbart 2022 jobs 900 2460 0.36585365853658536
breitbart 2022 macro 644 2460 0.26178861788617885
breitbart 2022 market 32 2460 0.013008130081300813
breitbart 2022 other 154 2460 0.06260162601626017
breitbart 2022 prices+ 470 2460 0.1910569105691057
breitbart 2022 wages 162 2460 0.06585365853658537
breitbart 2023 jobs 5 9 0.5555555555555556
breitbart 2023 wages 4 9 0.4444444444444444
foxnews 2015 currency 5 876 0.005707762557077625
foxnews 2015 housing 17 876 0.019406392694063926
foxnews 2015 interest 1 876 0.001141552511415525
foxnews 2015 jobs 219 876 0.25
foxnews 2015 macro 316 876 0.3607305936073059
foxnews 2015 market 11 876 0.012557077625570776
foxnews 2015 other 151 876 0.1723744292237443
foxnews 2015 prices+ 103 876 0.11757990867579908
foxnews 2015 wages 53 876 0.06050228310502283
foxnews 2016 currency 16 845 0.01893491124260355
foxnews 2016 housing 13 845 0.015384615384615385
foxnews 2016 jobs 201 845 0.2378698224852071
foxnews 2016 macro 301 845 0.3562130177514793
foxnews 2016 market 55 845 0.0650887573964497
foxnews 2016 other 68 845 0.08047337278106509
foxnews 2016 prices+ 145 845 0.17159763313609466
foxnews 2016 wages 46 845 0.054437869822485205
foxnews 2017 currency 12 922 0.013015184381778741
foxnews 2017 housing 32 922 0.03470715835140998
foxnews 2017 interest 1 922 0.0010845986984815619
foxnews 2017 jobs 268 922 0.29067245119305857
foxnews 2017 macro 313 922 0.33947939262472887
foxnews 2017 market 19 922 0.020607375271149676
foxnews 2017 other 94 922 0.1019522776572668
foxnews 2017 prices+ 146 922 0.15835140997830802
foxnews 2017 wages 37 922 0.04013015184381779
foxnews 2018 currency 27 2426 0.011129431162407255
foxnews 2018 housing 28 2426 0.011541632316570486
foxnews 2018 interest 2 2426 8.244023083264633e-4
foxnews 2018 jobs 852 2426 0.3511953833470734
foxnews 2018 macro 958 2426 0.3948887056883759
foxnews 2018 market 68 2426 0.028029678483099753
foxnews 2018 other 119 2426 0.04905193734542457
foxnews 2018 prices+ 162 2426 0.06677658697444352
foxnews 2018 wages 210 2426 0.08656224237427865
foxnews 2019 currency 39 2377 0.016407236011779555
foxnews 2019 housing 63 2377 0.026503996634413125
foxnews 2019 interest 6 2377 0.002524190155658393
foxnews 2019 jobs 848 2377 0.3567522086663862
foxnews 2019 macro 829 2377 0.3487589398401346
foxnews 2019 market 50 2377 0.02103491796381994
foxnews 2019 other 122 2377 0.05132519983172066
foxnews 2019 prices+ 183 2377 0.07698779974758098
foxnews 2019 wages 237 2377 0.09970551114850652
foxnews 2020 currency 41 4562 0.00898728627794827
foxnews 2020 housing 67 4562 0.014686540990793511
foxnews 2020 interest 7 4562 0.0015344147303814116
foxnews 2020 jobs 2160 4562 0.4734765453748356
foxnews 2020 macro 1371 4562 0.3005260850504165
foxnews 2020 market 105 4562 0.023016220955721176
foxnews 2020 other 180 4562 0.0394563787812363
foxnews 2020 prices+ 443 4562 0.09710653222270933
foxnews 2020 wages 188 4562 0.041209995615957916
foxnews 2021 currency 59 3548 0.016629086809470124
foxnews 2021 housing 64 3548 0.018038331454340473
foxnews 2021 interest 5 3548 0.0014092446448703494
foxnews 2021 jobs 1379 3548 0.3886696730552424
foxnews 2021 macro 965 3548 0.27198421645997745
foxnews 2021 market 76 3548 0.02142051860202931
foxnews 2021 other 227 3548 0.06397970687711386
foxnews 2021 prices+ 560 3548 0.15783540022547915
foxnews 2021 wages 213 3548 0.06003382187147689
foxnews 2022 currency 60 5194 0.011551790527531768
foxnews 2022 housing 91 5194 0.01752021563342318
foxnews 2022 interest 35 5194 0.006738544474393531
foxnews 2022 jobs 1572 5194 0.3026569118213323
foxnews 2022 macro 1510 5194 0.2907200616095495
foxnews 2022 market 84 5194 0.016172506738544475
foxnews 2022 other 402 5194 0.07739699653446284
foxnews 2022 prices+ 1161 5194 0.2235271467077397
foxnews 2022 wages 279 5194 0.05371582595302272
foxnews 2023 currency 4 213 0.018779342723004695
foxnews 2023 housing 13 213 0.06103286384976526
foxnews 2023 jobs 89 213 0.41784037558685444
foxnews 2023 macro 51 213 0.23943661971830985
foxnews 2023 market 2 213 0.009389671361502348
foxnews 2023 other 10 213 0.046948356807511735
foxnews 2023 prices+ 34 213 0.1596244131455399
foxnews 2023 wages 10 213 0.046948356807511735
huffpost 2015 currency 6 928 0.00646551724137931
huffpost 2015 housing 18 928 0.01939655172413793
huffpost 2015 interest 2 928 0.0021551724137931034
huffpost 2015 jobs 336 928 0.3620689655172414
huffpost 2015 macro 261 928 0.28125
huffpost 2015 market 17 928 0.018318965517241378
huffpost 2015 other 60 928 0.06465517241379311
huffpost 2015 prices+ 83 928 0.0894396551724138
huffpost 2015 wages 145 928 0.15625
huffpost 2016 currency 15 809 0.018541409147095178
huffpost 2016 housing 2 809 0.002472187886279357
huffpost 2016 interest 1 809 0.0012360939431396785
huffpost 2016 jobs 232 809 0.2867737948084054
huffpost 2016 macro 232 809 0.2867737948084054
huffpost 2016 market 64 809 0.07911001236093942
huffpost 2016 other 70 809 0.0865265760197775
huffpost 2016 prices+ 81 809 0.10012360939431397
huffpost 2016 wages 112 809 0.138442521631644
huffpost 2017 currency 33 1117 0.02954341987466428
huffpost 2017 housing 29 1117 0.025962399283795883
huffpost 2017 interest 7 1117 0.006266786034019696
huffpost 2017 jobs 398 1117 0.35631154879140553
huffpost 2017 macro 261 1117 0.23366159355416294
huffpost 2017 market 32 1117 0.02864816472694718
huffpost 2017 other 103 1117 0.09221128021486123
huffpost 2017 prices+ 127 1117 0.11369740376007162
huffpost 2017 wages 127 1117 0.11369740376007162
huffpost 2018 currency 107 2238 0.04781054512957998
huffpost 2018 housing 51 2238 0.022788203753351208
huffpost 2018 interest 6 2238 0.002680965147453083
huffpost 2018 jobs 714 2238 0.3190348525469169
huffpost 2018 macro 541 2238 0.241733690795353
huffpost 2018 market 146 2238 0.06523681858802502
huffpost 2018 other 226 2238 0.10098302055406613
huffpost 2018 prices+ 247 2238 0.11036639857015192
huffpost 2018 wages 200 2238 0.08936550491510277
huffpost 2019 currency 55 4409 0.012474484009979588
huffpost 2019 housing 180 4409 0.04082558403266047
huffpost 2019 interest 23 4409 0.0052166024041732815
huffpost 2019 jobs 1493 4409 0.33862553867090045
huffpost 2019 macro 1274 4409 0.2889544114311635
huffpost 2019 market 198 4409 0.044908142435926515
huffpost 2019 other 319 4409 0.0723520072578816
huffpost 2019 prices+ 408 4409 0.0925379904740304
huffpost 2019 wages 459 4409 0.10410523928328419
huffpost 2020 currency 24 6946 0.0034552260293694214
huffpost 2020 housing 89 6946 0.012813129858911605
huffpost 2020 interest 16 6946 0.002303484019579614
huffpost 2020 jobs 3921 6946 0.5644975525482292
huffpost 2020 macro 1137 6946 0.16369133314137632
huffpost 2020 market 406 6946 0.05845090699683271
huffpost 2020 other 183 6946 0.026346098473941836
huffpost 2020 prices+ 803 6946 0.11560610423265189
huffpost 2020 wages 367 6946 0.0528361646991074
huffpost 2021 currency 36 2655 0.013559322033898305
huffpost 2021 housing 58 2655 0.021845574387947268
huffpost 2021 interest 1 2655 3.766478342749529e-4
huffpost 2021 jobs 1176 2655 0.4429378531073446
huffpost 2021 macro 581 2655 0.21883239171374766
huffpost 2021 market 70 2655 0.026365348399246705
huffpost 2021 other 157 2655 0.059133709981167605
huffpost 2021 prices+ 340 2655 0.128060263653484
huffpost 2021 wages 236 2655 0.08888888888888889
huffpost 2022 currency 70 3312 0.021135265700483092
huffpost 2022 housing 56 3312 0.016908212560386472
huffpost 2022 interest 86 3312 0.025966183574879228
huffpost 2022 jobs 1001 3312 0.3022342995169082
huffpost 2022 macro 820 3312 0.24758454106280192
huffpost 2022 market 199 3312 0.060084541062801936
huffpost 2022 other 210 3312 0.06340579710144928
huffpost 2022 prices+ 634 3312 0.19142512077294685
huffpost 2022 wages 236 3312 0.07125603864734299
huffpost 2023 currency 3 205 0.014634146341463415
huffpost 2023 housing 3 205 0.014634146341463415
huffpost 2023 interest 5 205 0.024390243902439025
huffpost 2023 jobs 71 205 0.3463414634146341
huffpost 2023 macro 60 205 0.2926829268292683
huffpost 2023 other 13 205 0.06341463414634146
huffpost 2023 prices+ 43 205 0.2097560975609756
huffpost 2023 wages 7 205 0.03414634146341464
nytimes 2015 currency 316 9000 0.035111111111111114
nytimes 2015 housing 381 9000 0.042333333333333334
nytimes 2015 interest 207 9000 0.023
nytimes 2015 jobs 2524 9000 0.28044444444444444
nytimes 2015 macro 1924 9000 0.2137777777777778
nytimes 2015 market 928 9000 0.10311111111111111
nytimes 2015 other 692 9000 0.0768888888888889
nytimes 2015 prices+ 1119 9000 0.12433333333333334
nytimes 2015 wages 909 9000 0.101
nytimes 2016 currency 259 8092 0.03200692041522491
nytimes 2016 housing 287 8092 0.03546712802768166
nytimes 2016 interest 101 8092 0.012481463173504697
nytimes 2016 jobs 2615 8092 0.3231586752347998
nytimes 2016 macro 2061 8092 0.254695996045477
nytimes 2016 market 521 8092 0.06438457736035591
nytimes 2016 other 631 8092 0.07797825012357884
nytimes 2016 prices+ 827 8092 0.10219970341077607
nytimes 2016 wages 790 8092 0.09762728620860109
nytimes 2017 currency 149 6914 0.0215504772924501
nytimes 2017 housing 188 6914 0.027191206248192074
nytimes 2017 interest 123 6914 0.017789991321955453
nytimes 2017 jobs 2275 6914 0.32904252241828175
nytimes 2017 macro 2187 6914 0.3163147237489152
nytimes 2017 market 270 6914 0.03905120046282904
nytimes 2017 other 515 6914 0.0744865490309517
nytimes 2017 prices+ 685 6914 0.09907434191495516
nytimes 2017 wages 522 6914 0.07549898756146949
nytimes 2018 currency 226 8891 0.02541896299628838
nytimes 2018 housing 237 8891 0.026656169159824543
nytimes 2018 interest 181 8891 0.020357665054549546
nytimes 2018 jobs 2804 8891 0.31537509841412664
nytimes 2018 macro 2129 8891 0.2394556292880441
nytimes 2018 market 974 8891 0.10954898211674727
nytimes 2018 other 668 8891 0.07513215611292318
nytimes 2018 prices+ 788 8891 0.08862895062422675
nytimes 2018 wages 884 8891 0.0994263862332696
nytimes 2019 currency 551 12584 0.0437857596948506
nytimes 2019 housing 469 12584 0.037269548633185
nytimes 2019 interest 319 12584 0.025349650349650348
nytimes 2019 jobs 3299 12584 0.26215829624920534
nytimes 2019 macro 3364 12584 0.2673235855054037
nytimes 2019 market 1054 12584 0.08375715193897013
nytimes 2019 other 1022 12584 0.0812142403051494
nytimes 2019 prices+ 1206 12584 0.09583598219961856
nytimes 2019 wages 1300 12584 0.10330578512396695
nytimes 2020 currency 191 30221 0.0063201085338009996
nytimes 2020 housing 459 30221 0.015188114225207636
nytimes 2020 interest 133 30221 0.004400913272227921
nytimes 2020 jobs 15896 30221 0.525991859964925
nytimes 2020 macro 4944 30221 0.16359485126236722
nytimes 2020 market 2381 30221 0.07878627444492241
nytimes 2020 other 740 30221 0.024486284371794446
nytimes 2020 prices+ 4462 30221 0.14764567684722543
nytimes 2020 wages 1015 30221 0.03358591707752887
nytimes 2021 currency 314 21429 0.014653040272527883
nytimes 2021 housing 401 21429 0.01871295907415185
nytimes 2021 interest 148 21429 0.006906528536095945
nytimes 2021 jobs 9961 21429 0.4648373699192683
nytimes 2021 macro 3522 21429 0.1643567128657427
nytimes 2021 market 966 21429 0.04507909841803164
nytimes 2021 other 832 21429 0.03882589014886369
nytimes 2021 prices+ 4423 21429 0.20640253861589436
nytimes 2021 wages 862 21429 0.040225862149423676
nytimes 2022 currency 688 24855 0.02768054717360692
