,precision,recall,f1-score,support
currency,1.0,0.5,0.6666666666666666,2.0
housing,1.0,0.6666666666666666,0.8,3.0
interest,0.7142857142857143,1.0,0.8333333333333334,5.0
jobs,0.9534883720930233,1.0,0.9761904761904762,41.0
macro,0.8181818181818182,0.72,0.7659574468085106,25.0
none,0.8108108108108109,0.9090909090909091,0.8571428571428571,33.0
other,1.0,0.5,0.6666666666666666,2.0
prices,1.0,0.3333333333333333,0.5,3.0
retail,0.3333333333333333,1.0,0.5,1.0
wages,1.0,0.7142857142857143,0.8333333333333334,7.0
accuracy,0.860655737704918,0.860655737704918,0.860655737704918,0.860655737704918
macro avg,0.86301000487047,0.7343376623376623,0.7399290780141843,122.0
weighted avg,0.8787630112449021,0.860655737704918,0.8567633331672397,122.0
