,precision,recall,f1-score,support
currency,1.0,0.4,0.5714285714285714,5.0
energy,1.0,1.0,1.0,10.0
housing,0.9523809523809523,1.0,0.975609756097561,20.0
interest,0.9230769230769231,0.8571428571428571,0.8888888888888888,14.0
jobs,0.9722222222222222,0.963302752293578,0.967741935483871,109.0
macro,0.6869565217391305,0.9186046511627907,0.7860696517412935,86.0
market,0.8936170212765957,0.711864406779661,0.7924528301886793,59.0
none,0.93359375,0.9637096774193549,0.9484126984126984,248.0
other,0.0,0.0,0.0,6.0
prices,0.5,0.15384615384615385,0.23529411764705882,13.0
retail,0.5,0.5,0.5,4.0
wages,1.0,0.5625,0.72,16.0
accuracy,0.8847457627118644,0.8847457627118644,0.8847457627118644,0.8847457627118644
macro avg,0.780153949224652,0.6692475415536997,0.698824870824052,590.0
weighted avg,0.882670903928479,0.8847457627118644,0.8753212426405504,590.0
