user,instance_id,displayed_text,frame:::Not Relevant to the U.S. Economy,"frame:::Government revenue and expenses (e.g., discusses taxes, budgets, and treasury issuances)",frame:::Other,"frame:::Industry-specific (e.g., discusses agricultural prices, manufacturing output, and retail sales)","frame:::Macroeconomic / General Economic Conditions (e.g., discusses jobs, housing prices, and oil prices)","frame:::Personal (e.g., discusses household expenditures and personal debts)","frame:::Firm-specific (e.g., discusses stock prices, debt offerings, and capital investments)",macro_indicator:::Not general type 'Macroeconomic / General Economic Conditions',macro_indicator:::Not Relevant to the U.S. Economy,macro_indicator:::Other,"macro_indicator:::Energy Prices (eg., oil, gas)","macro_indicator:::Wages (e.g., minimum wage, average wage)","macro_indicator:::Job Numbers (e.g., jobs, unemployment)",macro_indicator:::Retail Sales,"macro_indicator:::Housing (e.g., Start, Sales, Pricing)","macro_indicator:::Prices (e.g., CPI, PPI)","macro_indicator:::Interest Rates (e.g., Fed, Mortgage)","macro_indicator:::Macroeconomy (e.g., GDP)","macro_indicator:::Market Numbers (e.g., any financial market)","spin:::Neutral (e.g., GDP was worth X US dollars)",spin:::Not general type 'Macroeconomic / General Economic Conditions',spin:::Not Relevant to the U.S. Economy,"spin:::Positive (e.g., inflation dropped)","spin:::Negative (e.g., prices skyrocketed)","Question 1: The highlighted quantity should have a general type. Please label the type, or select 'Not Relevant to the U.S. Economy' if it is a date or otherwise not relevant to the U.S. economy:::Macroeconomic / General Economic Conditions (e.g., discusses jobs, housing prices, and oil prices)","Question 1: The highlighted quantity should have a general type. Please label the type, or select 'Not Relevant to the U.S. Economy' if it is a date or otherwise not relevant to the U.S. economy:::Firm-specific (e.g., discusses stock prices, debt offerings, and capital investments)","Question 2: If the quantity's general type is 'Macroeconomic / General Economic Conditions', please label the specific macroeconomic indicator. Select 'Not general type 'Macroeconomic / General Economic Conditions'' if the quantity is not relevant to the U.S. economy or is not a macroeconomic / general conditions type.:::Not general type 'Macroeconomic / General Economic Conditions'","Question 2: If the quantity's general type is 'Macroeconomic / General Economic Conditions', please label the specific macroeconomic indicator. Select 'Not general type 'Macroeconomic / General Economic Conditions'' if the quantity is not relevant to the U.S. economy or is not a macroeconomic / general conditions type.:::Housing (e.g., Start, Sales, Pricing)","Question 3: If the quantity's general type is 'Macroeconomic / General Economic Conditions', what spin does the writer of the excerpt put on the highlighted quantity?:::Not general type 'Macroeconomic / General Economic Conditions","Question 3: If the quantity's general type is 'Macroeconomic / General Economic Conditions', what spin does the writer of the excerpt put on the highlighted quantity?:::Negative (e.g., prices skyrocketed)"," If the quantity's general type is 'Macroeconomic / General Economic Conditions', what spin does the writer of the excerpt put on the highlighted quantity?:::Negative (e.g., prices skyrocketed)","The highlighted quantity should have a general type. Please label the type, or select 'Not Relevant' is a date or otherwise not relevant to the U.S. economy:::Macroeconomic / General Economic Conditions (e.g., discusses jobs, housing prices, and oil prices)","The highlighted quantity should have a general type. Please label the type, or select 'Not Relevant' is a date or otherwise not relevant to the U.S. economy:::Government revenue and expenses (e.g., discusses taxes, budgets, and treasury issuances)",You have answered all practice questions correctly! You may access the instructions at any time during the study using the links at the top left the screen.:::I have identified the links to the instruction set and codebook,Please note that we reserve the right to reject your annotations if the provided instructions are not followed.:::I understand that my answers will be rejected if I do not follow the instructions,"Good work! You answered the sample questions correctly. Please confirm that you have read all instructions, because you'll now do 2 examples on your own.:::I have read all provided instructions","If the quantity's general type is 'Macroeconomic / General Economic Conditions', please label the specific macroeconomic indicator. Select 'Not general type 'Macroeconomic / General Economic Conditions'' if the quantity is not relevant to the U.S. economy or is not a macroeconomic / general conditions type.:::Market Numbers (e.g., any financial market)"
65f8d23136abafe80c61998a,37368_0,HOUSTON — Oil prices rose <span>about 10 percent</span> on Monday as investors reacted to a weekend attack on one of Saudi Arabia’s most important oil facilities that could cripple petroleum exports for days or even weeks. But experts say that a severe shock to energy markets and the world economy would be unlikely.,,,,,0,,,,,,10,,,,,,,,,,,,,1,,,,,,,,,,,,,
65f8d23136abafe80c61998a,46093_25,"- “Some in the caucus criticize the legislative slowdown, led by Freedom Caucus Chair Andy Biggs (R-Ariz.) and several others, as a failure to act strategically. Conservatives should challenge a select few bills rather than a wide swath, these Republicans argue, to avoid diluting the potency of moments when they choose to tie the House in procedural knots … But other Freedom Caucus members feel strongly that wreaking havoc on the floor is part of their brand and they need to deploy every procedural weapon at their disposal.” Today in history President Ronald Reagan survived an assassination attempt on this day <span>in 1981.</span> “In the 70th day of his presidency, Reagan underwent three hours of surgery at George Washington University Hospital to remove the bullet that entered under his left armpit, struck his seventh rib and burrowed three iches into his left lung,"" reported The Post's David S. Broder.",6,,,,,,,,13,,,,,,,,,,,,,5,,,,,,,,,,,,,,,
65f8d23136abafe80c61998a,Economic-Article-Quant-Annotation-example1.html,example1,,,,,,,,,,,,,,,,,,,,,,,,,,"Question 1: The highlighted quantity should have a general type. Please label the type, or select 'Not Relevant to the U.S. Economy' if it is a date or otherwise not relevant to the U.S. economy:::Firm-specific (e.g., discusses stock prices, debt offerings, and capital investments)","Question 2: If the quantity's general type is 'Macroeconomic / General Economic Conditions', please label the specific macroeconomic indicator. Select 'Not general type 'Macroeconomic / General Economic Conditions'' if the quantity is not relevant to the U.S. economy or is not a macroeconomic / general conditions type.:::Not general type 'Macroeconomic / General Economic Conditions'",,"Question 3: If the quantity's general type is 'Macroeconomic / General Economic Conditions', what spin does the writer of the excerpt put on the highlighted quantity?:::Not general type 'Macroeconomic / General Economic Conditions",,,,,,,,
65f8d23136abafe80c61998a,Economic-Article-Quant-Annotation-instructions3_example.html,instructions3_example,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," If the quantity's general type is 'Macroeconomic / General Economic Conditions', what spin does the writer of the excerpt put on the highlighted quantity?:::Negative (e.g., prices skyrocketed)",,,,,,
65f8d23136abafe80c61998a,46093_1,"“We view this as something that the private sector is doing and will do.” As for equity, my colleagues Dan Diamond, Lena H. Sun and Isaac Stanley-Becker reported this weekend: “The passports are expected to be free and available through applications for smartphones, which could display a scannable code similar to an airline boarding pass. Americans without smartphone access should be able to print out the passports, developers have said.” As of 2019, <span>roughly 1 in</span> 5 Americans did not have a smartphone. “We'll leverage our resources to ensure that all vaccination credential systems meet key standards, whether that's universal accessibility, affordability, availability — both digitally and on paper,” Psaki said.",,,,2,,,,,,11,,,,,,,,,,,,,,1,,,,,,,,,,,,,
65f8d23136abafe80c61998a,14194_7,"Fed officials have estimated that they will raise their benchmark short-term rate, now pegged near zero, three times this year. Many economists envision as many as four Fed rate hikes <span>in 2022.</span> Those rate increases would likely increase borrowing costs for home and auto purchases as well as for business loans, potentially slowing the economy.",6,,,,,,,,13,,,,,,,,,,,,,5,,,,,,,,,,,,,,,
65f8d23136abafe80c61998a,65080_17,"Until recently, he said, much of the weakness was confined to the Midwest, because of job losses there. Shares of Freddie Mac fell $3.18, or 5%, to $60.07 at<span> 4 p</span>.m. in New York Stock Exchange composite trading. Mike Barris contributed to this article.",6,,,,,,,,13,,,,,,,,,,,,,5,,,,,,,,,,,,,,,
65f8d23136abafe80c61998a,27000_22,"Investors reacted favorably to the earnings. Ford stock rose <span>nearly 3 percent</span> in after-hours trading Wednesday to $11.40. Through the close of regular-session trading Wednesday, it has fallen about 11 percent so far this year.",,,,,,,1,12,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,
65f8d23136abafe80c61998a,73533_3,"But if it’s a war, it’s a gentle one so far. Half the central banks representing the Group <span>of 20 developed</span> and large emerging economies, whose top monetary and finance officials meet to discuss the global economy this week in Istanbul, have taken easing steps so far this year. The moves—mainly in the form of interest-rate cuts but also asset purchases—have ricocheted through foreign-exchange markets, driving the currencies of some countries down and those of others, primarily the U.S., up.",6,,,,,,,,13,,,,,,,,,,,,,5,,,,,,,,,,,,,,,
65f8d23136abafe80c61998a,65149_3,"That put the yuan at its lowest level against the dollar since Dec. 20. The yuan fell further shortly after trading began in mainland China, hitting its weakest value since Dec.<span> 13,</span> according to Wind Info. In recent action, one dollar bought 6.6167 yuan, putting the Chinese currency on track for a daily loss of 0.3%.",6,,,,,,,,13,,,,,,,,,,,,,5,,,,,,,,,,,,,,,
